"mzerozero" "czerozero" "c" "m_Ds"
5.97529599930022e-05 1.23198745307924e-13 0.000746269702542144 0.476438979485959
8.41915744053114e-05 1.0779551016717e-13 0.000463426634652867 0.691996709784978
0.000113402644556297 7.26816655879286e-14 0.000231980050130916 0.788241230534481
0.000160059949778403 4.6639678510007e-14 0.00010546826970827 0.810005188885648
0.000217390198711925 2.81794198369672e-14 4.69181670566653e-05 0.812208211327955
0.00029211660590674 1.68077968249932e-14 2.08258862965583e-05 0.809352585947582
0.000383805512429466 9.83033662185236e-15 9.2705634558852e-06 0.806452455443654
0.000491363992520594 5.6185294071632e-15 4.13874128850011e-06 0.804169241621592
0.000629342246408935 3.2200302543514e-15 1.85191911968309e-06 0.802792612199469
0.0007873040391591 1.8049581807954e-15 8.29800350405413e-07 0.80180882906222
0.000994641275423802 1.02275118686329e-15 3.72179513523962e-07 0.801019919782274
0.00124352904587392 5.73959062265252e-16 1.67060559986622e-07 0.80043120089224
0.00152959140565367 3.17086362996967e-16 7.50327871822679e-08 0.800309634056882
0.00187750347766652 1.74828737786539e-16 3.37039670275714e-08 0.80015319156778
0.00228273198528776 9.54959339199521e-17 1.51418488099005e-08 0.799729127950582
0.00277023663546469 5.20869439600874e-17 6.80551441456555e-09 0.799639246118308
0.00334309124294095 2.82540901657604e-17 3.05901809580227e-09 0.799537064703169
0.00405818077177405 1.54180677719403e-17 1.37514188659015e-09 0.80006594559948
0.00486733699175452 8.30855983866418e-18 6.1785033356163e-10 0.800039185746449
0.00591809297601066 4.53903484145665e-18 2.77607171901338e-10 0.79971420389143
0.00719166683057971 2.47913299954961e-18 1.24772597409544e-10 0.799667108296686
0.00878472034463194 1.36115378384538e-18 5.60826082721345e-11 0.799635810197623
0.0105685820911137 7.360690540257e-19 2.52087193668681e-11 0.799835334778107
0.0127130793566985 3.97913359079723e-19 1.1328873077655e-11 0.800104288571039
0.0153094439669806 2.15286254501105e-19 5.08985996269603e-12 0.799698686159692
0.018259799708923 1.15411255992456e-19 2.28771071960213e-12 0.799979562954253
0.0222469058243795 6.31822466275068e-20 1.0279556960016e-12 0.799426752084639
0.0271978747576997 3.47275216351106e-20 4.62155121582195e-13 0.800568213410104
0.0332436004267703 1.90618267125025e-20 2.07541720542749e-13 0.800488741981708
0.0402358607620051 1.03614829479963e-20 9.32089400463439e-14 0.799471085926078
0.0497444625326277 5.75900534801059e-21 4.190363403904e-14 0.800471019862075
0.0613439648627742 3.1895868676548e-21 1.88196499585923e-14 0.801025482364851
0.0754853551623675 1.76175027528294e-21 8.44754656761349e-15 0.800266090180066
0.0925665128746128 9.70475110698108e-22 3.79471747714849e-15 0.800011070251501
0.112326262234253 5.29140998517482e-22 1.70505759760374e-15 0.799809661789564
0.136047141424659 2.88022624389226e-22 7.66277602119256e-16 0.799544557360305
0.16436151712136 1.5642261224793e-22 3.4446757068547e-16 0.801128174786254
0.200329509712768 8.55694568869434e-23 1.54604737116037e-16 0.801270012061107
0.233765122029753 4.48091202273177e-23 6.9380216687536e-17 0.801757042040477
0.280571413911839 2.41230081846564e-23 3.11198140082941e-17 0.802330305556568
0.338692207422177 1.30540605757431e-23 1.39504869872526e-17 0.800860974918911
0.423690867937614 7.33128360861481e-24 6.26296329063751e-18 0.800584537242189
0.539328190466485 4.1907773823268e-24 2.81248632410263e-18 0.800751372882684
0.673317634396952 2.34908946064052e-24 1.26278238961033e-18 0.801446236185113
0.827585872124891 1.29547476511681e-24 5.66584694921588e-19 0.803242824155678
1.03825713395557 7.27908661662114e-25 2.5375868357004e-19 0.807342392534127
1.28677725682422 4.0239353414024e-25 1.13187004529434e-19 0.808530809394308
1.61780269268111 2.25388992501891e-25 5.04261832349214e-20 0.811425917307804
1.19365151213873 7.3873198392995e-26 2.24005302735082e-20 0.816811581611628
0.132920990566343 3.63467979224137e-27 9.89740943743653e-21 0.820478438489308
0.00185447308593648 2.2323581066886e-29 4.3570473363274e-21 0.821625346734899
0.0239431029734733 1.26734953038811e-28 1.91586509085492e-21 0.822262831871319
0.0426381830834695 9.91768831163355e-29 8.41900397490545e-22 0.827306132464488
-0.0453373820948315 -4.61077278052813e-29 3.68100350323621e-22 0.833063524132967
-0.160053644503965 -7.07600250623442e-29 1.60018929093689e-22 0.852369739285115
-0.103000197534152 -1.94169526167239e-29 6.82326066153019e-23 0.856809199643027
-0.0612819410540972 -4.90420272802221e-30 2.89657548735771e-23 0.881638842296995
2.45804401832645 8.14584688361696e-29 1.19948697334387e-23 0.88358229616496
0.567431478367151 7.77202235859099e-30 4.95757811393367e-24 0.911906128449504
-3.75356449679802 -2.06570641147061e-29 1.99192812681666e-24 0.906270147155198
3.74699094713527 8.3363734999993e-30 8.05273615479887e-25 0.675367754212058
22.5402055699071 2.58510044994814e-29 4.15115070025404e-25 0.834666132996303
-0.0479135589310788 -2.45322466924327e-32 1.85322368418892e-25 1.16615742368214
-16.0937636167247 -2.79024502764049e-30 6.27528816919575e-26 0.817081422658633
5.39237886527471 6.91084628706312e-31 4.63873736875413e-26 NA
